nom_centre;adresse;code_postal;ville;site_web_inscription;latitude;longitude
LA VOIX FRANÇAISE;"4 rue Maurice Sibille, 26200, MONTÉLIMAR";26200;Montélimar;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1111/23;44.524317;4.742831
INFREP DROME;4 Avenue Gaston Vernier;26200;Montélimar;http://www.infrep.org;44.573446;4.738987
LEO LAGRANGE FORMATION - VALENCE;"1 passage de l'argonne, 26000, VALENCE";26000;Valence;https://francais.cci-paris-idf.fr/inscription-candidat/contact/472/23;44.93417;4.897456
ALFA -  ASSOCIATION LOCALE POUR LA FORMATION ET L’ADAPTATION SOCIOPROFESSIONNELLE;Campus de l'espace 1 Avenue Hubert Curien;27200;Vernon;https://association-alfa.com;49.108181;1.499039
ÉDUCATION ET FORMATION - ÉVREUX;"63 rue de Rome, 27000, ÉVREUX";27000;Évreux;https://francais.cci-paris-idf.fr/inscription-candidat/contact/769/23;49.030489;1.185426
LEO LAGRANGE FORMATION - DREUX;"58 rue du Château d'eau, 28300, CHARTRES MAINVILLIERS";28300;Chartres Mainvilliers;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1052/23;48.451006;1.446782
LEO LAGRANGE FORMATION - DREUX;"37 rue Gambetta, 28200, CHATEAUDUN";28200;Chateaudun;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1053;48.069025;1.33115
CRIA 28;"Ancienne nne, salles 1 et 2, rue d'Aboville, allée du général Martial Valin";28000;Chartres;http://www.cria28.com;48.837949;2.270263
CRIA 28;"Centre Toufaire 3, passage des Francs-Tireurs de Cannes";28200;Châteaudun;http://www.cria28.com;48.070776;1.327343
LEO LAGRANGE FORMATION - DREUX;"LEO LAGRANGE FORMATION , 28100, DREUX";28100;Dreux;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1049;48.72615;1.370687
CRIA 28;"Centre St Jean 17, rue St Jean";28100;Dreux;http://www.cria28.com;43.609936;2.239424
LEO LAGRANGE FORMATION - BREST;"82 Avenue Montaigne , 29200, BREST";29200;Brest;https://francais.cci-paris-idf.fr/inscription-candidat/contact/1048/23;48.40459;-4.47913
